Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.,
123456780,120463758,8,9,62814,Right->Down->Left->Down->Up->Right->Up->Left->DONE,8,9,60951,Right->Down->Left->Down->Up->Right->Up->Left->DONE,
123456780,102453786,10,6,43195,Down->Down->Right->Right->Left->Left->Up->Down->Up->Up->DONE,10,6,45111,Down->Down->Right->Right->Left->Left->Up->Down->Up->Up->DONE,
123456780,123405786,4,6,25939,Down->Right->Left->Up->DONE,4,6,25205,Down->Right->Left->Up->DONE,
123456780,123456078,6,4,19499,Right->Right->Left->Right->Left->Left->DONE,6,4,17206,Right->Right->Left->Right->Left->Left->DONE,
123456780,123405786,4,6,22698,Down->Right->Left->Up->DONE,4,6,23286,Down->Right->Left->Up->DONE,
123456780,13425786,8,9,40374,Down->Right->Down->Right->Left->Up->Left->Up->DONE,8,9,39712,Down->Right->Down->Right->Left->Up->Left->Up->DONE,
123456780,123405786,10,6,24012,Down->Right->Up->Right->Left->Left->Right->Down->Left->Up->DONE,10,6,24402,Down->Right->Up->Right->Left->Left->Right->Down->Left->Up->DONE,
123456780,12453786,10,7,42216,Down->Down->Right->Right->Up->Down->Left->Left->Up->Up->DONE,10,7,35618,Down->Down->Right->Right->Up->Down->Left->Left->Up->Up->DONE,
123456780,123450786,4,3,11719,Down->Down->Up->Up->DONE,4,3,11827,Down->Down->Up->Up->DONE,
123456780,103425786,8,8,35102,Down->Right->Down->Right->Left->Up->Left->Up->DONE,8,8,33922,Down->Right->Down->Right->Left->Up->Left->Up->DONE,
123456780,203146758,14,11,53635,Right->Down->Right->Down->Left->Right->Up->Left->Up->Left->Right->Right->Left->Left->DONE,14,11,56238,Right->Down->Right->Down->Left->Right->Up->Left->Up->Left->Right->Right->Left->Left->DONE,
123456780,123406758,6,6,23986,Right->Down->Up->Left->Right->Left->DONE,6,6,24193,Right->Down->Up->Left->Right->Left->DONE,
123456780,123406758,6,6,21888,Right->Down->Left->Right->Up->Left->DONE,6,6,27000,Right->Down->Left->Right->Up->Left->DONE,
123456780,203156478,12,9,45194,Right->Right->Down->Down->Left->Right->Up->Up->Down->Up->Left->Left->DONE,12,9,45754,Right->Right->Down->Down->Left->Right->Up->Up->Down->Up->Left->Left->DONE,
