Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.
123456780,103426758,11,8,47923,Right->Down->Down->Right->Up->Down->Up->Down->Left->Up->Up->DONE,11,8,42445,Right->Down->Down->Right->Up->Down->Up->Down->Left->Up->Up->DONE
123456780,123456078,11,4,22734,Right->Right->Left->Left->Down->Up->Right->Down->Right->Left->Up->DONE,11,4,23659,Right->Right->Left->Left->Down->Up->Right->Down->Right->Left->Up->DONE
123456780,103426758,11,8,39305,Right->Down->Down->Up->Right->Down->Up->Up->Down->Left->Up->DONE,11,8,41512,Right->Down->Down->Up->Right->Down->Up->Up->Down->Left->Up->DONE
123456780,123046758,11,8,39075,Right->Down->Right->Up->Down->Left->Right->Left->Up->Right->Left->DONE,11,8,38725,Right->Down->Right->Up->Down->Left->Right->Left->Up->Right->Left->DONE
123456780,123745086,11,9,45009,Down->Right->Right->Up->Down->Left->Left->Up->Right->Left->Right->DONE,11,9,46801,Down->Right->Right->Up->Down->Left->Left->Up->Right->Left->Right->DONE
123456780,123506478,11,9,69397,Right->Right->Down->Left->Up->Down->Right->Down->Up->Up->Left->DONE,11,9,66736,Right->Right->Down->Left->Up->Down->Right->Down->Up->Up->Left->DONE
123456780,123560478,11,11,83462,Right->Right->Down->Left->Left->Right->Right->Up->Down->Up->Left->DONE,11,11,55753,Right->Right->Down->Left->Left->Right->Right->Up->Down->Up->Left->DONE
123456780,123056478,11,6,49598,Right->Right->Down->Left->Up->Right->Left->Down->Right->Up->Left->DONE,11,6,52937,Right->Right->Down->Left->Up->Right->Left->Down->Right->Up->Left->DONE
123456780,130426758,11,9,71449,Right->Down->Down->Left->Up->Down->Right->Right->Left->Up->Up->DONE,11,9,65099,Right->Down->Down->Left->Up->Down->Right->Right->Left->Up->Up->DONE
123456780,123746058,11,9,41956,Right->Down->Right->Up->Left->Right->Down->Down->Up->Left->Up->DONE,11,9,44482,Right->Down->Right->Up->Left->Right->Down->Down->Up->Left->Up->DONE
123456780,123506478,11,9,42342,Right->Right->Down->Left->Left->Right->Right->Up->Down->Up->Left->DONE,11,9,45450,Right->Right->Down->Left->Left->Right->Right->Up->Down->Up->Left->DONE
123456780,123746058,11,9,41281,Right->Down->Right->Up->Down->Up->Down->Left->Up->Left->Right->DONE,11,9,45104,Right->Down->Right->Up->Down->Up->Down->Left->Up->Left->Right->DONE
123456780,123706548,11,22,160907,Right->Down->Right->Up->Left->Down->Up->Right->Down->Left->Up->DONE,11,15,96318,Right->Down->Right->Up->Left->Down->Up->Right->Down->Left->Up->DONE
123456780,230146758,11,12,59826,Right->Down->Right->Down->Left->Left->Right->Right->Up->Left->Up->DONE,11,12,62458,Right->Down->Right->Down->Left->Left->Right->Right->Up->Left->Up->DONE
123456780,123576408,13,13,382250,Right->Right->Down->Left->Up->Down->Right->Down->Up->Up->Down->Up->Left->DONE,13,12,322147,Right->Right->Down->Left->Up->Down->Right->Down->Up->Up->Down->Up->Left->DONE
123456780,130426758,13,9,150689,Right->Down->Down->Left->Right->Up->Left->Down->Right->Left->Up->Right->Up->DONE,13,9,157229,Right->Down->Down->Left->Right->Up->Left->Down->Right->Left->Up->Right->Up->DONE
123456780,243160758,13,22,401902,Right->Down->Right->Down->Left->Up->Left->Right->Down->Right->Up->Left->Up->DONE,13,19,737460,Right->Down->Right->Down->Left->Up->Left->Right->Down->Right->Up->Left->Up->DONE
123456780,123046758,13,8,72564,Right->Down->Right->Up->Down->Down->Up->Left->Up->Down->Right->Left->Up->DONE,13,8,69440,Right->Down->Right->Up->Down->Down->Up->Left->Up->Down->Right->Left->Up->DONE
123456780,123406758,13,6,71771,Right->Down->Right->Down->Up->Up->Left->Right->Down->Left->Up->Right->Left->DONE,13,6,74937,Right->Down->Right->Down->Up->Up->Left->Right->Down->Left->Up->Right->Left->DONE
123456780,123746058,13,9,109956,Right->Down->Right->Up->Down->Up->Down->Down->Up->Left->Up->Right->Left->DONE,13,9,113536,Right->Down->Right->Up->Down->Up->Down->Down->Up->Left->Up->Right->Left->DONE
123456780,123460758,13,8,95865,Right->Down->Left->Down->Up->Right->Right->Left->Up->Down->Left->Right->Up->DONE,13,8,112764,Right->Down->Left->Down->Up->Right->Right->Left->Up->Down->Left->Right->Up->DONE
123456780,123046758,13,8,94368,Right->Down->Right->Down->Left->Left->Right->Right->Up->Left->Up->Right->Left->DONE,13,8,100469,Right->Down->Right->Down->Left->Left->Right->Right->Up->Left->Up->Right->Left->DONE
123456780,413256708,13,27,340693,Right->Down->Down->Right->Up->Left->Up->Down->Right->Down->Left->Up->Up->DONE,13,20,261189,Right->Down->Down->Right->Up->Left->Up->Down->Right->Down->Left->Up->Up->DONE
123456780,203146758,13,11,128628,Right->Down->Right->Down->Left->Right->Left->Left->Right->Right->Up->Left->Up->DONE,13,11,140921,Right->Down->Right->Down->Left->Right->Left->Left->Right->Right->Up->Left->Up->DONE
123456780,123046758,13,8,77761,Right->Down->Right->Left->Up->Right->Left->Left->Down->Up->Right->Left->Right->DONE,13,8,79652,Right->Down->Right->Left->Up->Right->Left->Left->Down->Up->Right->Left->Right->DONE
123456780,123450786,13,3,34276,Down->Down->Up->Up->Down->Right->Down->Up->Up->Down->Left->Up->Right->DONE,13,3,34237,Down->Down->Up->Up->Down->Right->Down->Up->Up->Down->Left->Up->Right->DONE
123456780,123485760,13,11,100347,Down->Right->Up->Left->Right->Right->Left->Down->Left->Up->Down->Up->Right->DONE,13,9,84347,Down->Right->Up->Left->Right->Right->Left->Down->Left->Up->Down->Up->Right->DONE
123456780,102453786,13,6,37449,Down->Down->Right->Right->Left->Left->Up->Up->Right->Right->Down->Up->Left->DONE,13,6,38684,Down->Down->Right->Right->Left->Left->Up->Up->Right->Right->Down->Up->Left->DONE
